"Player","From","To","Pos","Ht","Wt","Birth Date","Colleges"
"Andre Drummond","2013","2022","C","6-10","279","August 10 1993","UConn"
"Dennis DuVal","1975","1976","G","6-3","175","March 31 1952","Syracuse"
"Chris Duarte","2022","2022","G","6-6","190","June 13 1997","Oregon"
"Dick Duckett","1958","1958","G","6-1","185","March 25 1933","St. John's"
"Kevin Duckworth","1987","1997","C","7-0","275","April 1 1964","Eastern Illinois University"
"Charles Dudley","1973","1979","G","6-2","180","March 5 1950","Washington"
"Chris Dudley","1988","2003","C","6-11","235","February 22 1965","Yale"
"Jared Dudley","2008","2021","F-G","6-6","237","July 10 1985","Boston College"
"Terry Duerod","1980","1983","G","6-2","180","July 29 1956","Detroit Mercy"
"Bob Duffy","1947","1947","F","6-4","175","July 5 1922","Tulane"
"Bob Duffy","1963","1965","G","6-3","185","September 26 1940","Colgate"
"Chris Duhon","2005","2013","G","6-1","185","August 31 1982","Duke"
"Duje Dukan","2016","2016","F","6-9","220","December 4 1991","Wisconsin"
"David Duke Jr.","2022","2022","G","6-5","205","October 13 1999","Providence"
"Walter Dukes","1956","1963","C","7-0","220","June 23 1930","Seton Hall"
"Joe Dumars*","1986","1999","G","6-3","190","May 24 1963","McNeese State University"
"Rich Dumas","1969","1969","G","6-3","170","April 21 1944","Northeastern State University"
"Richard Dumas","1993","1996","F","6-7","200","May 19 1969","Oklahoma State"
"Tony Dumas","1995","1998","G","6-6","190","August 25 1972","Missouri-Kansas City"
"Andy Duncan","1949","1951","F-C","6-6","195","April 17 1922","William & Mary"
"Tim Duncan*","1998","2016","F-C","6-11","250","April 25 1976","Wake Forest"
"Mike Dunleavy","1977","1990","G","6-3","180","March 21 1954","South Carolina"
"Mike Dunleavy","2003","2017","F-G","6-9","230","September 15 1980","Duke"
"Kris Dunn","2017","2022","G","6-3","205","March 18 1994","Providence"
"Pat Dunn","1958","1958","G","6-2","170","March 17 1931","Utah State University"
"T.R. Dunn","1978","1991","G-F","6-4","192","February 1 1955","Alabama"
"Ronald Dupree","2004","2011","F","6-7","209","January 26 1981","LSU"
"Kevin Durant","2008","2022","F-G","6-10","240","September 29 1988","Texas"
"John Duren","1981","1983","G","6-3","195","October 30 1958","Georgetown"
"Jarrett Durham","1972","1972","F","6-5","188","August 22 1949","Duquesne"
"Pat Durham","1993","1995","F","6-7","210","March 10 1967","Colorado State"
"Devin Durrant","1985","1986","F","6-7","200","October 20 1960","BYU"
"Ken Durrett","1972","1975","F","6-7","190","December 8 1948","La Salle"
"Trevon Duval","2019","2019","G","6-2","189","August 3 1998","Duke"
"Jack Dwan","1949","1949","F-G","6-4","200","May 3 1921","Loyola Chicago"
"Craig Dykema","1982","1982","F","6-8","190","June 11 1959","Cal State Long Beach"
"Gene Dyker","1954","1954","F","6-6","225","February 17 1930","DePaul"
"Jerome Dyson","2012","2012","G","6-3","180","May 1 1987","UConn"
"Ledell Eackles","1989","1998","G-F","6-5","220","November 24 1966","New Orleans"
"Jim Eakins","1969","1978","C","6-11","215","May 24 1946","BYU"
"Acie Earl","1994","1997","F-C","6-10","240","June 23 1970","Iowa"
"Ed Earle","1954","1954","F","6-3","190","April 28 1927","Loyola Chicago"
"Cleanthony Early","2015","2016","F","6-8","210","April 17 1991","Wichita State"
"Penny Early","1969","1969","G","5-3","114","May 30 1943",""
"Mark Eaton","1983","1993","C","7-4","275","January 24 1957","UCLA"
"Jerry Eaves","1983","1987","G","6-4","180","February 8 1959","Louisville"
"Devin Ebanks","2011","2013","F","6-9","215","October 28 1989","West Virginia"
"Bill Ebben","1958","1958","G","6-4","190","October 7 1935","Detroit Mercy"
"Al Eberhard","1975","1978","F","6-6","225","May 10 1952","Missouri"
"Ndudi Ebi","2004","2005","F","6-9","200","June 18 1984",""
"Roy Ebron","1974","1974","C","6-9","220","August 31 1951","Louisiana"
"Jaime Echenique","2022","2022","C","6-11","258","April 27 1997","Trinity Valley CC Wichita State"
"Jarell Eddie","2016","2018","G-F","6-7","218","October 30 1991","Virginia Tech"
"Patrick Eddie","1992","1992","C","6-11","240","December 27 1967","Arkansas State University Ole Miss"
"Dike Eddleman","1950","1953","F-G","6-3","189","December 27 1922","Illinois"
"Kenton Edelin","1985","1985","F","6-8","205","May 24 1962","Virginia"
"Charles Edge","1974","1975","F","6-6","210","February 23 1950","LeMoyne-Owen College"
"Bobby Edmonds","1968","1970","F","6-6","220","March 8 1941","Tennessee State"
"Keith Edmonson","1983","1984","G","6-5","195","September 28 1960","Purdue"
"Tyus Edney","1996","2001","G","5-10","152","February 14 1973","UCLA"
"Anthony Edwards","2021","2022","G","6-4","225","August 5 2001","Georgia"
"Bill Edwards","1994","1994","F","6-8","215","September 22 1971","Wright State University"
"Blue Edwards","1990","1999","G-F","6-4","200","October 31 1965","East Carolina University"
"Carsen Edwards","2020","2022","G","5-11","200","March 12 1998","Purdue"
"Corsley Edwards","2005","2005","F","6-9","275","March 5 1979","Central Connecticut State University"
"Doug Edwards","1994","1996","F","6-7","220","January 21 1971","Florida State"
"Franklin Edwards","1982","1988","G","6-1","170","February 2 1959","Cleveland State University"
"James Edwards","1978","1996","C-F","7-0","225","November 22 1955","Washington"
"Jay Edwards","1990","1990","G","6-4","185","January 3 1969","Indiana"
"John Edwards","2005","2006","C","7-0","275","July 31 1981","Kent State University"
"Kessler Edwards","2022","2022","F","6-8","215","August 9 2000","Pepperdine"
"Kevin Edwards","1989","2001","G","6-3","190","October 30 1965","DePaul"
"Rob Edwards","2022","2022","G","6-5","205","January 20 1997","Cleveland State University Arizona State"
"Shane Edwards","2014","2014","F","6-7","220","May 31 1987","Little Rock"
"Vince Edwards","2019","2019","F","6-8","225","April 5 1996","Purdue"
"Johnny Egan","1962","1972","G","5-11","180","January 31 1939","Providence"
"Lonnie Eggleston","1949","1949","G","6-0","170","June 8 1918","Oklahoma State"
"Bulbs Ehlers","1948","1949","F-G","6-3","198","March 10 1923","Purdue"
"Craig Ehlo","1984","1997","G-F","6-6","180","August 11 1961","Washington State"
"Rich Eichhorst","1962","1962","G","6-3","200","October 21 1933","SE Missouri State"
"Howard Eisley","1995","2006","G","6-2","177","December 4 1972","Boston College"
"Obinna Ekezie","2000","2005","F-C","6-9","270","August 22 1975","Maryland"
"Khalid El-Amin","2001","2001","G","5-10","200","April 25 1979","UConn"
"Don Eliason","1947","1947","F","6-2","210","July 24 1918","Hamline University"
"Mario Elie","1991","2001","G-F","6-5","210","November 26 1963","American International College"
"CJ Elleby","2021","2022","F","6-6","200","June 16 2000","Washington State"
"Ray Ellefson","1949","1951","C","6-8","230","November 18 1922","West Texas A&M University"
"Henry Ellenson","2017","2021","F","6-10","240","January 13 1997","Marquette"
"Wayne Ellington","2010","2022","G","6-4","207","November 29 1987","UNC"
"Bob Elliott","1979","1981","C-F","6-9","225","August 18 1955","Arizona"
"Sean Elliott","1990","2001","F","6-8","205","February 2 1968","Arizona"
"Bo Ellis","1978","1980","F","6-9","197","August 8 1954","Marquette"
"Boo Ellis","1959","1960","F","6-5","185","February 11 1936","Niagara University"
"Dale Ellis","1984","2000","G-F","6-7","205","August 6 1960","Tennessee"
"Harold Ellis","1994","1998","G","6-5","200","October 7 1970","Morehouse College"
"Joe Ellis","1967","1974","F-G","6-6","175","May 3 1944","San Francisco"
"LaPhonso Ellis","1993","2003","F","6-8","240","May 5 1970","Notre Dame"
"LeRon Ellis","1992","1996","F-C","6-9","225","April 28 1969","Kentucky Syracuse"
"Leroy Ellis","1963","1976","C-F","6-10","210","March 10 1940","St. John's"
"Monta Ellis","2006","2017","G","6-3","185","October 26 1985",""
"Pervis Ellison","1990","2001","F-C","6-9","210","April 3 1967","Louisville"
"Len Elmore","1975","1984","C-F","6-9","220","March 28 1952","Maryland"
"Francisco Elson","2004","2012","C","7-0","235","February 28 1976","California"
"Darrell Elston","1975","1977","G","6-4","190","August 15 1952","UNC"
"Melvin Ely","2003","2014","C","6-10","260","May 2 1978","Fresno State"
"Joel Embiid","2017","2022","C","7-0","280","March 16 1994","Kansas"
"Wayne Embry*","1959","1969","C-F","6-8","240","March 26 1937","Miami University"
"Andre Emmett","2005","2012","F","6-5","230","August 27 1982","Texas Tech"
"Ned Endress","1947","1947","F-G","6-2","200","March 2 1918","University of Akron"
"Wayne Engelstad","1989","1989","F","6-8","245","December 6 1965","University of California Irvine"
"Chris Engler","1983","1988","C","6-11","245","March 1 1959","Minnesota Wyoming"
"A.J. English","1991","1992","G","6-3","175","July 11 1967","Virginia Union University"
"Alex English*","1977","1991","F","6-7","190","January 5 1954","South Carolina"
"Claude English","1971","1971","F","6-4","185","December 26 1946","Rhode Island"
"Jo Jo English","1993","1995","G","6-4","195","February 4 1970","South Carolina"
"Kim English","2013","2013","G","6-6","200","September 24 1988","Missouri"
"Scott English","1973","1975","F","6-6","205","October 20 1950","Texas-El Paso"
"Gene Englund","1950","1950","F-C","6-5","205","October 21 1917","Wisconsin"
"James Ennis III","2015","2022","F","6-6","215","July 1 1990","Cal State Long Beach"
"Tyler Ennis","2015","2018","G","6-3","194","August 24 1994","Syracuse"
"Ray Epps","1979","1979","F","6-6","195","August 20 1956","Norfolk State"
"Semih Erden","2011","2012","C","7-0","240","July 28 1986",""
"Bo Erias","1958","1958","F","6-3","220","July 30 1932","Niagara University"
"Keith Erickson","1966","1977","F-G","6-5","195","April 19 1944","UCLA"
"Julius Erving*","1972","1987","F-G","6-7","210","February 22 1950","UMass"
"Evan Eschmeyer","2000","2003","C","6-11","255","May 30 1975","Northwestern"
"Jack Eskridge","1949","1949","C-F","6-5","200","January 21 1924","Kansas"
"Vincenzo Esposito","1996","1996","G","6-3","198","March 1 1969",""
"Drew Eubanks","2019","2022","F","6-9","245","February 1 1997","Oregon State"
"Billy Evans","1970","1970","G","6-0","170","March 3 1947","Boston College"
"Bob Evans","1950","1950","G","6-2","175","May 31 1925","Butler"
"Brian Evans","1997","1999","F","6-8","220","September 13 1973","Indiana"
"Earl Evans","1980","1980","F","6-8","202","November 11 1955","USC UNLV"
"Jacob Evans","2019","2020","G-F","6-4","210","June 18 1997","Cincinnati"
"Jawun Evans","2018","2019","G","6-0","185","July 26 1996","Oklahoma State"
"Jeremy Evans","2011","2018","F","6-9","200","October 24 1987","Western Kentucky"
"Maurice Evans","2002","2012","G","6-5","220","November 8 1978","Wichita State Texas"
"Mike Evans","1980","1988","G","6-1","170","April 19 1955","Kansas State"
"Reggie Evans","2003","2015","F","6-8","245","May 18 1980","Iowa"
"Tyreke Evans","2010","2019","G-F","6-6","220","September 19 1989","Memphis"
"Daniel Ewing","2006","2007","G","6-3","185","March 26 1983","Duke"
"Patrick Ewing*","1986","2002","C-F","7-0","240","August 5 1962","Georgetown"
"Patrick Ewing","2011","2011","F","6-8","235","May 20 1984","Indiana Georgetown"
"Dante Exum","2015","2021","G","6-5","214","July 13 1995",""
"Christian Eyenga","2011","2012","F","6-5","210","June 22 1989",""
"Festus Ezeli","2013","2016","C","6-11","255","October 21 1989","Vanderbilt"
"Johnny Ezersky","1948","1950","F-G","6-3","175","March 21 1922","Rhode Island"
"Ledell Eackles","1989","1998","G-F","6-5","220","November 24 1966","New Orleans"
"Jim Eakins","1969","1978","C","6-11","215","May 24 1946","BYU"
"Acie Earl","1994","1997","F-C","6-10","240","June 23 1970","Iowa"
"Ed Earle","1954","1954","F","6-3","190","April 28 1927","Loyola Chicago"
"Cleanthony Early","2015","2016","F","6-8","210","April 17 1991","Wichita State"
"Penny Early","1969","1969","G","5-3","114","May 30 1943",""
"Mark Eaton","1983","1993","C","7-4","275","January 24 1957","UCLA"
"Jerry Eaves","1983","1987","G","6-4","180","February 8 1959","Louisville"
"Devin Ebanks","2011","2013","F","6-9","215","October 28 1989","West Virginia"
"Bill Ebben","1958","1958","G","6-4","190","October 7 1935","Detroit Mercy"
"Al Eberhard","1975","1978","F","6-6","225","May 10 1952","Missouri"
"Ndudi Ebi","2004","2005","F","6-9","200","June 18 1984",""
"Roy Ebron","1974","1974","C","6-9","220","August 31 1951","Louisiana"
"Jaime Echenique","2022","2022","C","6-11","258","April 27 1997","Trinity Valley CC Wichita State"
"Jarell Eddie","2016","2018","G-F","6-7","218","October 30 1991","Virginia Tech"
"Patrick Eddie","1992","1992","C","6-11","240","December 27 1967","Arkansas State University Ole Miss"
"Dike Eddleman","1950","1953","F-G","6-3","189","December 27 1922","Illinois"
"Kenton Edelin","1985","1985","F","6-8","205","May 24 1962","Virginia"
"Charles Edge","1974","1975","F","6-6","210","February 23 1950","LeMoyne-Owen College"
"Bobby Edmonds","1968","1970","F","6-6","220","March 8 1941","Tennessee State"
"Keith Edmonson","1983","1984","G","6-5","195","September 28 1960","Purdue"
"Tyus Edney","1996","2001","G","5-10","152","February 14 1973","UCLA"
"Anthony Edwards","2021","2022","G","6-4","225","August 5 2001","Georgia"
"Bill Edwards","1994","1994","F","6-8","215","September 22 1971","Wright State University"
"Blue Edwards","1990","1999","G-F","6-4","200","October 31 1965","East Carolina University"
"Carsen Edwards","2020","2022","G","5-11","200","March 12 1998","Purdue"
"Corsley Edwards","2005","2005","F","6-9","275","March 5 1979","Central Connecticut State University"
"Doug Edwards","1994","1996","F","6-7","220","January 21 1971","Florida State"
"Franklin Edwards","1982","1988","G","6-1","170","February 2 1959","Cleveland State University"
"James Edwards","1978","1996","C-F","7-0","225","November 22 1955","Washington"
"Jay Edwards","1990","1990","G","6-4","185","January 3 1969","Indiana"
"John Edwards","2005","2006","C","7-0","275","July 31 1981","Kent State University"
"Kessler Edwards","2022","2022","F","6-8","215","August 9 2000","Pepperdine"
"Kevin Edwards","1989","2001","G","6-3","190","October 30 1965","DePaul"
"Rob Edwards","2022","2022","G","6-5","205","January 20 1997","Cleveland State University Arizona State"
"Shane Edwards","2014","2014","F","6-7","220","May 31 1987","Little Rock"
"Vince Edwards","2019","2019","F","6-8","225","April 5 1996","Purdue"
"Johnny Egan","1962","1972","G","5-11","180","January 31 1939","Providence"
"Lonnie Eggleston","1949","1949","G","6-0","170","June 8 1918","Oklahoma State"
"Bulbs Ehlers","1948","1949","F-G","6-3","198","March 10 1923","Purdue"
"Craig Ehlo","1984","1997","G-F","6-6","180","August 11 1961","Washington State"
"Rich Eichhorst","1962","1962","G","6-3","200","October 21 1933","SE Missouri State"
"Howard Eisley","1995","2006","G","6-2","177","December 4 1972","Boston College"
"Obinna Ekezie","2000","2005","F-C","6-9","270","August 22 1975","Maryland"
"Khalid El-Amin","2001","2001","G","5-10","200","April 25 1979","UConn"
"Don Eliason","1947","1947","F","6-2","210","July 24 1918","Hamline University"
"Mario Elie","1991","2001","G-F","6-5","210","November 26 1963","American International College"
"CJ Elleby","2021","2022","F","6-6","200","June 16 2000","Washington State"
"Ray Ellefson","1949","1951","C","6-8","230","November 18 1922","West Texas A&M University"
"Henry Ellenson","2017","2021","F","6-10","240","January 13 1997","Marquette"
"Wayne Ellington","2010","2022","G","6-4","207","November 29 1987","UNC"
"Bob Elliott","1979","1981","C-F","6-9","225","August 18 1955","Arizona"
"Sean Elliott","1990","2001","F","6-8","205","February 2 1968","Arizona"
"Bo Ellis","1978","1980","F","6-9","197","August 8 1954","Marquette"
"Boo Ellis","1959","1960","F","6-5","185","February 11 1936","Niagara University"
"Dale Ellis","1984","2000","G-F","6-7","205","August 6 1960","Tennessee"
"Harold Ellis","1994","1998","G","6-5","200","October 7 1970","Morehouse College"
"Joe Ellis","1967","1974","F-G","6-6","175","May 3 1944","San Francisco"
"LaPhonso Ellis","1993","2003","F","6-8","240","May 5 1970","Notre Dame"
"LeRon Ellis","1992","1996","F-C","6-9","225","April 28 1969","Kentucky Syracuse"
"Leroy Ellis","1963","1976","C-F","6-10","210","March 10 1940","St. John's"
"Monta Ellis","2006","2017","G","6-3","185","October 26 1985",""
"Pervis Ellison","1990","2001","F-C","6-9","210","April 3 1967","Louisville"
"Len Elmore","1975","1984","C-F","6-9","220","March 28 1952","Maryland"
"Francisco Elson","2004","2012","C","7-0","235","February 28 1976","California"
"Darrell Elston","1975","1977","G","6-4","190","August 15 1952","UNC"
"Melvin Ely","2003","2014","C","6-10","260","May 2 1978","Fresno State"
"Joel Embiid","2017","2022","C","7-0","280","March 16 1994","Kansas"
"Wayne Embry*","1959","1969","C-F","6-8","240","March 26 1937","Miami University"
"Andre Emmett","2005","2012","F","6-5","230","August 27 1982","Texas Tech"
"Ned Endress","1947","1947","F-G","6-2","200","March 2 1918","University of Akron"
"Wayne Engelstad","1989","1989","F","6-8","245","December 6 1965","University of California Irvine"
"Chris Engler","1983","1988","C","6-11","245","March 1 1959","Minnesota Wyoming"
"A.J. English","1991","1992","G","6-3","175","July 11 1967","Virginia Union University"
"Alex English*","1977","1991","F","6-7","190","January 5 1954","South Carolina"
"Claude English","1971","1971","F","6-4","185","December 26 1946","Rhode Island"
"Jo Jo English","1993","1995","G","6-4","195","February 4 1970","South Carolina"
"Kim English","2013","2013","G","6-6","200","September 24 1988","Missouri"
"Scott English","1973","1975","F","6-6","205","October 20 1950","Texas-El Paso"
"Gene Englund","1950","1950","F-C","6-5","205","October 21 1917","Wisconsin"
"James Ennis III","2015","2022","F","6-6","215","July 1 1990","Cal State Long Beach"
"Tyler Ennis","2015","2018","G","6-3","194","August 24 1994","Syracuse"
"Ray Epps","1979","1979","F","6-6","195","August 20 1956","Norfolk State"
"Semih Erden","2011","2012","C","7-0","240","July 28 1986",""
"Bo Erias","1958","1958","F","6-3","220","July 30 1932","Niagara University"
"Keith Erickson","1966","1977","F-G","6-5","195","April 19 1944","UCLA"
"Julius Erving*","1972","1987","F-G","6-7","210","February 22 1950","UMass"
"Evan Eschmeyer","2000","2003","C","6-11","255","May 30 1975","Northwestern"
"Jack Eskridge","1949","1949","C-F","6-5","200","January 21 1924","Kansas"
"Vincenzo Esposito","1996","1996","G","6-3","198","March 1 1969",""
"Drew Eubanks","2019","2022","F","6-9","245","February 1 1997","Oregon State"
"Billy Evans","1970","1970","G","6-0","170","March 3 1947","Boston College"
"Bob Evans","1950","1950","G","6-2","175","May 31 1925","Butler"
"Brian Evans","1997","1999","F","6-8","220","September 13 1973","Indiana"
"Earl Evans","1980","1980","F","6-8","202","November 11 1955","USC UNLV"
"Jacob Evans","2019","2020","G-F","6-4","210","June 18 1997","Cincinnati"
"Jawun Evans","2018","2019","G","6-0","185","July 26 1996","Oklahoma State"
"Jeremy Evans","2011","2018","F","6-9","200","October 24 1987","Western Kentucky"
"Maurice Evans","2002","2012","G","6-5","220","November 8 1978","Wichita State Texas"
"Mike Evans","1980","1988","G","6-1","170","April 19 1955","Kansas State"
"Reggie Evans","2003","2015","F","6-8","245","May 18 1980","Iowa"
"Tyreke Evans","2010","2019","G-F","6-6","220","September 19 1989","Memphis"
"Daniel Ewing","2006","2007","G","6-3","185","March 26 1983","Duke"
"Patrick Ewing*","1986","2002","C-F","7-0","240","August 5 1962","Georgetown"
"Patrick Ewing","2011","2011","F","6-8","235","May 20 1984","Indiana Georgetown"
"Dante Exum","2015","2021","G","6-5","214","July 13 1995",""
"Christian Eyenga","2011","2012","F","6-5","210","June 22 1989",""
"Festus Ezeli","2013","2016","C","6-11","255","October 21 1989","Vanderbilt"
"Johnny Ezersky","1948","1950","F-G","6-3","175","March 21 1922","Rhode Island"
"Bill Gabor","1950","1955","G-F","5-11","170","May 13 1922","Syracuse"
"Wenyen Gabriel","2020","2022","F","6-9","205","March 26 1997","Kentucky"
"Dan Gadzuric","2003","2012","C","6-11","240","February 2 1978","UCLA"
"Daniel Gafford","2020","2022","F","6-10","234","October 1 1998","Arkansas"
"Deng Gai","2006","2006","F","6-9","250","March 22 1982","Fairfield"
"Elmer Gainer","1948","1950","F-C","6-6","195","November 22 1918","DePaul"
"Bill Gaines","1969","1969","G","6-4","185","March 10 1946","Texas A&M University-Commerce"
"Corey Gaines","1989","1995","G","6-3","195","June 1 1965","UCLA Loyola Marymount"
"Reece Gaines","2004","2006","G","6-6","205","January 7 1981","Louisville"
"Smokey Gaines","1968","1968","G","6-1","170","February 27 1940","LeMoyne-Owen College"
"Sundiata Gaines","2010","2012","G","6-1","185","April 18 1986","Georgia"
"Mike Gale","1972","1982","G","6-4","185","July 18 1950","Elizabeth City State University"
"Chad Gallagher","1994","1994","C","6-10","255","May 30 1969","Creighton"
"Harry Gallatin*","1949","1958","F-C","6-6","210","April 26 1927","Truman State University"
"Gene Gallette","1947","1947","F","6-2","205","February 22 1919",""
"Danilo Gallinari","2009","2022","F","6-10","233","August 8 1988",""
"Langston Galloway","2015","2022","G","6-1","200","December 9 1991","Saint Joseph's"
"Dave Gambee","1959","1970","F","6-6","215","April 16 1937","Oregon State"
"Kevin Gamble","1988","1997","F-G","6-5","210","November 13 1965","Iowa"
"Bob Gantt","1947","1947","F-C","6-4","205","June 22 1922","Duke"
"Jorge Garbajosa","2007","2008","F","6-9","245","December 19 1977",""
"Rubén Garcés","2001","2001","F","6-9","245","October 17 1973","Providence"
"Alex Garcia","2004","2005","G","6-3","220","March 4 1980",""
"Francisco García","2006","2015","F-G","6-7","195","December 31 1981","Louisville"
"Chuck Gardner","1968","1968","F","6-8","205","September 30 1944","Colorado"
"Earl Gardner","1949","1949","F","6-3","195","September 18 1923","DePauw University"
"Kenneth Gardner","1976","1976","F","6-5","205","September 27 1949","Utah"
"Thomas Gardner","2008","2009","G","6-5","225","February 8 1985","Missouri"
"Vern Gardner","1950","1952","F-C","6-5","200","May 14 1925","Utah"
"Jack Garfinkel","1947","1949","G","6-0","190","June 13 1918","St. John's"
"Patricio Garino","2017","2017","G-F","6-6","210","May 17 1993","George Washington"
"Darius Garland","2020","2022","G","6-1","192","January 26 2000","Vanderbilt"
"Gary Garland","1980","1980","G","6-4","180","October 12 1957","DePaul"
"Winston Garland","1988","1995","G","6-2","170","December 19 1964","Missouri State"
"Dick Garmaker","1956","1961","G-F","6-3","200","October 29 1932","Minnesota"
"Bill Garner","1968","1968","C","6-10","220","June 17 1940","University of Portland"
"Chris Garner","1998","2001","G","5-10","156","February 2 1975","Memphis"
"Bill Garnett","1983","1986","F","6-9","225","April 22 1960","Wyoming"
"Kevin Garnett*","1996","2016","F-C","6-11","240","May 19 1976",""
"Marlon Garnett","1999","1999","G","6-2","186","July 3 1975","Santa Clara"
"Billy Garrett","2019","2019","G","6-6","213","October 16 1994","DePaul"
"Calvin Garrett","1981","1984","F","6-7","190","July 11 1956","Austin Peay State University Oral Roberts"
"Dean Garrett","1997","2002","C","6-10","225","November 27 1966","Indiana"
"Diante Garrett","2013","2014","G","6-4","190","November 3 1988","Iowa State"
"Dick Garrett","1970","1974","G","6-3","185","January 31 1947","Southern Illinois"
"Marcus Garrett","2022","2022","G","6-5","205","November 9 1998","Kansas"
"Rowland Garrett","1973","1977","F","6-6","210","July 16 1950","Florida State"
"Tom Garrick","1989","1992","G","6-2","185","July 7 1966","Rhode Island"
"John Garris","1984","1984","F","6-8","205","June 6 1959","Michigan Boston College"
"Kiwane Lemorris Garris","1998","2000","G","6-2","183","September 24 1974","Illinois"
"Pat Garrity","1999","2008","F","6-9","238","August 23 1976","Notre Dame"
"Usman Garuba","2022","2022","F","6-8","220","March 9 2002",""
"Jim Garvin","1974","1974","F","6-7","200","February 5 1950","Boston University"
"Luka Garza","2022","2022","F-C","6-11","235","December 27 1998","Iowa"
"Marc Gasol","2009","2021","C","6-11","255","January 29 1985",""
"Pau Gasol","2002","2019","C-F","7-0","250","July 6 1980",""
"Frank Gates","1950","1950","G","6-0","160","April 12 1920","Sam Houston State University"
"Chris Gatling","1992","2002","F-C","6-10","220","September 3 1967","Old Dominion"
"Kenny Gattison","1987","1996","F-C","6-8","225","May 23 1964","Old Dominion"
"Rudy Gay","2007","2022","F","6-8","250","August 17 1986","UConn"
"Ed Gayda","1951","1951","G-F","6-4","210","May 16 1927","Washington State"
"Andrew Gaze","1994","1999","G","6-7","205","July 24 1965","Seton Hall"
"Michael Gbinije","2017","2017","G","6-7","200","June 5 1992","Duke Syracuse"
"Reggie Geary","1997","1998","G","6-2","187","August 31 1973","Arizona"
"Alonzo Gee","2010","2017","G","6-6","225","May 29 1987","Alabama"
"Matt Geiger","1993","2002","C","7-0","243","September 10 1969","Auburn Georgia Tech"
"Mickaël Gelabale","2007","2013","F","6-7","215","May 22 1983",""
"Devean George","2000","2010","G-F","6-8","220","August 29 1977","Augsburg College"
"Jack George","1954","1961","G","6-2","190","November 13 1928","La Salle"
"Paul George","2011","2022","F","6-8","220","May 2 1990","Fresno State"
"Tate George","1991","1995","G","6-5","190","May 29 1968","UConn"
"Marcus Georges-Hunt","2017","2018","G","6-5","216","March 28 1994","Georgia Tech"
"Gus Gerard","1975","1981","F-G","6-8","200","July 27 1953","Virginia"
"Derrick Gervin","1990","1991","F","6-8","200","March 28 1963","Texas-San Antonio"
"George Gervin*","1973","1986","G-F","6-7","180","April 27 1952","Eastern Michigan"
"Gorham Getchell","1947","1947","C","6-4","205","August 14 1920","Temple"
"John Gianelli","1973","1980","C-F","6-10","220","June 10 1950","University of the Pacific"
"Dick Gibbs","1972","1976","F-G","6-5","210","December 20 1948","Texas-El Paso"
"Daniel Gibson","2007","2013","G","6-2","190","February 27 1986","Texas"
"Dee Gibson","1950","1950","F-G","5-11","175","August 25 1923","Western Kentucky"
"Hoot Gibson","1950","1950","F-C","6-5","198","December 5 1921","Creighton"
"Jonathan Gibson","2017","2018","G","6-2","185","November 8 1987","New Mexico State"
"Mel Gibson","1964","1964","G","6-3","180","December 30 1940","Western Carolina University"
"Mike Gibson","1984","1986","F","6-10","205","October 27 1960","USC Upstate"
"Taj Gibson","2010","2022","F","6-9","232","June 24 1985","USC"
"J.R. Giddens","2009","2010","G","6-5","215","February 13 1985","Kansas New Mexico"
"Josh Giddey","2022","2022","G","6-8","210","October 10 2002",""
"Trey Gilder","2010","2010","F","6-9","185","January 24 1985","McNeese State University Northwestern State University"
"Harry Giles","2019","2021","F-C","6-11","240","April 22 1998","Duke"
"Shai Gilgeous-Alexander","2019","2022","G","6-6","180","July 12 1998","Kentucky"
"Anthony Gill","2021","2022","F","6-7","230","October 17 1992","South Carolina Virginia"
"Eddie Gill","2001","2009","G","6-0","190","August 16 1978","Weber State"
"Kendall Gill","1991","2005","G","6-5","195","May 25 1968","Illinois"
"Ben Gillery","1989","1989","C","7-0","235","September 19 1965","Georgetown"
"Freddie Gillespie","2021","2022","F","6-9","245","June 14 1997","Carleton College Baylor"
"Jack Gillespie","1970","1970","F","6-6","215","October 1 1947","Montana State"
"Armen Gilliam","1988","2000","F-C","6-9","230","May 28 1964","UNLV"
"Herm Gilliam","1970","1977","G-F","6-3","190","May 5 1946","Purdue"
"Artis Gilmore*","1972","1988","C","7-2","240","September 21 1949","Gardner-Webb University Jacksonville University"
"Walt Gilmore","1971","1971","F","6-6","225","February 27 1947","Fort Valley State University"
"Chuck Gilmur","1947","1951","F-C","6-4","225","August 13 1922","Washington"
"Manu Ginóbili*","2003","2018","G","6-6","205","July 28 1977",""
"Gordan Giri?ek","2003","2008","G-F","6-6","210","June 20 1977",""
"Jack Givens","1979","1980","F-G","6-5","205","September 21 1956","Kentucky"
"Mickell Gladness","2012","2012","C","6-11","220","July 26 1986","Alabama A&M University"
"George Glamack","1949","1949","C-F","6-6","225","June 7 1918","UNC"
"Gerald Glass","1991","1996","G-F","6-5","221","November 12 1967","Delta State University Ole Miss"
"Mike Glenn","1978","1987","G","6-2","175","September 10 1955","Southern Illinois"
"Normie Glick","1950","1950","F","6-7","190","November 10 1927","Loyola Marymount"
"Georgi Glouchkov","1986","1986","F","6-8","235","January 10 1960",""
"Clarence Glover","1972","1972","F","6-8","210","November 1 1947","Western Kentucky"
"Dion Glover","2000","2005","G","6-5","228","October 22 1978","Georgia Tech"
"Andreas Glyniadakis","2007","2007","C","7-1","280","August 21 1981",""
