Name,Developer,Producer,Genre,Operating System,Date Released
Champions of Krynn,"Strategic Simulations, Inc.","Strategic Simulations, Inc., U.S. Gold","Fantasy, RPG","MS-DOS, Apple II, Commodore 64, Amiga","June 1, 1990"
Chaos Island: The Lost World,DreamWorks Interactive,DreamWorks Interactive,Real-time strategy,Microsoft Windows,"October 30, 1997"
Chivalry: Medieval Warfare,Torn Banner Studios,Torn Banner Studios,"Action, first-person slasher","Microsoft Windows, Linux, macOS","October 16, 2012"
Cities in Motion,Colossal Order,Paradox Interactive,Business simulation,"Microsoft Windows, Linux, macOS","February 23, 2011"
Cities in Motion 2,Colossal Order,Paradox Interactive,Business simulation,"Microsoft Windows, Linux, macOS","April 2, 2013"
Cities: Skylines,Colossal Order,Paradox Interactive,"City-building, Simulation","Microsoft Windows, Linux, macOS","March 10, 2015"
Cities XL,Monte Cristo,Monte Cristo,"City-building game, massively multiplayer online game",Microsoft Windows,"October 8, 2009"
Civilization III,"Firaxis Games, Westlake Interactive, Aspyr","Atari, Aspyr",Turn-based strategy,"Microsoft Windows, macOS","October 30, 2001"
Civilization III: Conquests,"Firaxis Games, BreakAway Games",Atari,Turn-based strategy,Microsoft Windows,"November 4, 2003"
Civilization IV,Firaxis Games,"2K Games, Aspyr",Turn-based strategy,"Microsoft Windows, macOS","October 25, 2005"
Civilization V,Firaxis Games,"2K Games, Aspyr",Turn-based strategy,"Microsoft Windows, Linux, macOS","September 21, 2010"
Civilization V: Brave New World,Firaxis Games,"2K Games, Aspyr",Turn-based strategy,"Microsoft Windows, Linux, macOS","March 15, 2013"
Civilization V: Gods & Kings,Firaxis Games,"2K Games, Aspyr",Turn-based strategy,"Microsoft Windows, Linux, macOS","February 16, 2012"
Civilization VI,Firaxis Games,2K Games,Turn-based strategy,"Microsoft Windows, macOS","October 21, 2016"
Clans to Kingdoms,Clans to Kingdoms,Clans to Kingdoms,"4X, Turn-based strategy, City-building",Microsoft Windows,"April 15, 2019"
Classic British Motor Racing,Data Design Interactive,Bold Games,Racing,Microsoft Windows,"January 2, 2008"
The Club,Bizarre Creations,Sega,Third-person shooter,Microsoft Windows,"February 7, 2008"
Cobalt,Oxeye Game Studio,Mojang,"Action, sidescroller","Microsoft Windows, Linux, macOS","February 2, 2016"
Colin McRae Rally,Codemasters,Codemasters,Racing game,Microsoft Windows,"September 28, 1998"
Colin McRae Rally 2.0,Codemasters,Codemasters,Racing game,Microsoft Windows,"December 8, 2000"
Colin McRae Rally 3,Codemasters,Codemasters,Racing game,Microsoft Windows,"August 25, 2002"
Colin McRae Rally 04,Codemasters,Codemasters,Racing game,Microsoft Windows,"April 2, 2004"
Colin McRae Rally 2005,Codemasters,"Codemasters (Win), Feral Interactive (OSX)",Racing game,"Microsoft Windows, macOS","September 24, 2004"
Colin McRae: Dirt,Codemasters,Codemasters,Racing game,Microsoft Windows,"June 15, 2007"
Colin McRae: Dirt 2,Codemasters,"Codemasters (Win), Feral Interactive (OSX)",Racing game,"Microsoft Windows, macOS","September 8, 2009"
Microsoft Combat Flight Simulator,Microsoft[circular reference],Microsoft,"CFS, Flight Simulation",Microsoft Windows,"October 28, 1998"
Command & Conquer,Westwood Studios,Virgin Interactive,RTS,"MS-DOS, Microsoft Windows","August 31, 1995"
Command & Conquer: Red Alert,Westwood Studios,Virgin Interactive,RTS,"MS-DOS, Microsoft Windows","November 22, 1996"
Command & Conquer: Generals,EA Pacific,EA Games,RTS,"Microsoft Windows, Mac OS X","February 10, 2003"
Command & Conquer: Red Alert 2,Westwood Pacific,EA Games,RTS,Microsoft Windows,"October 26, 2000"
Command & Conquer: Red Alert 3,EA Los Angeles,Electronic Arts,RTS,Microsoft Windows Mac OS X,"October 28, 2008"
Command & Conquer: Renegade,Westwood Studios,EA Games,Tactical shooter,Microsoft Windows,"February 26, 2002"
Command & Conquer: Tiberian Sun,Westwood Studios,Electronic Arts,RTS,Microsoft Windows,"August 27, 1999"
Command & Conquer 3: Tiberium Wars,EA Los Angeles,Electronic Arts,RTS,"Microsoft Windows, Mac OS X","March 26, 2007"
Command & Conquer 4: Tiberian Twilight,EA Los Angeles,Electronic Arts,RTS,Microsoft Windows,"March 16, 2010"
Commandos: Behind Enemy Lines,Pyro Studios,Eidos Interactive,RTS,Microsoft Windows,"July 31, 1998"
Commandos: Beyond the Call of Duty,Pyro Studios,Eidos Interactive,RTS,Microsoft Windows,"March 31, 1999"
Commandos: Strike Force,Pyro Studios,Eidos Interactive,RTS,Microsoft Windows,"March 17, 2006"
Commandos 2: Men of Courage,Pyro Studios,Eidos Interactive,RTS,Microsoft Windows,"September 21, 2001"
Commandos 3: Destination Berlin,Pyro Studios,Eidos Interactive,RTS,Microsoft Windows,"October 23, 2003"
Company of Heroes,Relic Entertainment,THQ,RTS,"Microsoft Windows, macOS","September 12, 2006"
Company of Heroes 2,Relic Entertainment,Sega,RTS,Microsoft Windows,"June 25, 2013"
Constantine,Bits Studios,SCi Games,"Action-adventure, third-person shooter",Microsoft Windows,"February 14, 2005"
Contagion,Monochrome LLC,Monochrome LLC,First-person shooter,Microsoft Windows,"April 14, 2014"
Cossacks II: Battle for Europe,GSC Game World,GSC World Publishing,RTS,Microsoft Windows,"June 19, 2006"
Counter-Strike,Valve,Valve,First-person shooter,"Microsoft Windows, Linux, macOS","June 19, 1999"
Counter-Strike: Condition Zero,"Valve, Gearbox Software, Ritual Entertainment, Turtle Rock Studios",Valve,First-person shooter,"Microsoft Windows, Linux, macOS","March 23, 2004"
Counter-Strike: Global Offensive,Valve,Valve,First-person shooter,"Microsoft Windows, Linux, macOS","August 12, 2012"
Counter-Strike Online,"Valve, Nexon Corporation","Valve, Nexon Corporation, Gamania",First-person shooter,Microsoft Windows,"June 24, 2008"
Counter-Strike: Source,Valve,Valve,First-person shooter,"Microsoft Windows, Linux, macOS","September 1, 2004"
Crusader Kings,Paradox Development Studios,Paradox Interactive,Grand strategy,"Microsoft Windows, macOS","August 27, 2004"
Crusader Kings II,Paradox Development Studios,Paradox Interactive,Grand strategy,"Microsoft Windows, Linux, macOS","February 14, 2012"
Cryostasis: Sleep of Reason,Action Forms,"1C, Aspyr, 505 Games",Survival horror,Microsoft Windows,"February 27, 2009"
Crysis,Crytek,Electronic Arts,First-person shooter,Microsoft Windows,"November 13, 2007"
Crysis Warhead,Crytek Budapest,Electronic Arts,First-person shooter,Microsoft Windows,"September 16, 2008"
Crysis 2,"Crytek, Crytek UK",Electronic Arts,First-person shooter,Microsoft Windows,"March 22, 2011"
Crysis 3,"Crytek, Crytek UK",Electronic Arts,First-person shooter,Microsoft Windows,"February 19, 2013"
Cuphead,StudioMDHR,StudioMDHR,"Action, run and gun",Microsoft Windows,"September 29, 2017"
Curse of the Azure Bonds,"Strategic Simulations, Inc.","Strategic Simulations, Inc., U.S. Gold, Pony Canyon, Inc.","Fantasy, RPG","MS-DOS, Apple II, macOS, Commodore 64, Amiga, Atari ST, NEC PC-9801","September 1, 1989"
The Cursed Crusade,Kylotonn,Atlus,Action-adventure,Microsoft Windows,"October 25, 2011"
Damnation,Blue Omega Entertainment,Codemasters,Third-person shooter,Microsoft Windows,"May 25, 2009"
Dark Souls,FromSoftware,Namco Bandai Games,Action role-playing,Microsoft Windows,"August 23, 2012"
Dark Souls II,FromSoftware,Bandai Namco Games,Action role-playing,Microsoft Windows,"April 24, 2014"
Dark Souls III,FromSoftware,Bandai Namco Entertainment,Action role-playing,Microsoft Windows,"April 12, 2016"
Dark Sun Online: Crimson Sands,"Strategic Simulations, Inc.",Total Entertainment Network,"RPG, fantasy",MS-DOS,"February 1, 1996"
Dark Sun: Shattered Lands,"Strategic Simulations, Inc.",Softgold Computerspiele GmbH,"RPG, fantasy",MS-DOS,"September 1, 1993"
Dark Sun: Wake of the Ravager,"Strategic Simulations, Inc.","Strategic Simulations, Inc.","RPG, fantasy",MS-DOS,1995
Darksiders 2,Vigil Games,THQ,"Hack and slash, platformer",Microsoft Windows,"August 14, 2012"
Darkstone: Evil Reigns,Delphine Software International,"Electronic Arts EU, Gathering of Developers NA",Action RPG,Microsoft Windows,"July 31, 1999"
Daryl F. Gates' Police Quest: SWAT,Sierra Entertainment,Sierra Entertainment,"Interactive movie, simulation, action-adventure","Microsoft Windows, macOS","September 30, 1995"
Day of Defeat,Valve,Valve,First-person shooter,"Microsoft Windows, Linux, macOS","August 4, 2000"
Day of Defeat: Source,Valve,Valve,First-person shooter,"Microsoft Windows, Linux, macOS","September 26, 2005"
DayZ,Bohemia Interactive,Bohemia Interactive,"Open-world, first-person shooter, RPG",Microsoft Windows,"December 16, 2013"
Dead Island,Techland,Deep Silver,"Zombies, survival","Microsoft Windows, Linux, macOS","October 20, 2011"
Dead Space,EA Redwood Shores,Electronic Arts,"Survival horror, third-person shooter",Microsoft Windows,"August 20, 2008"
Dead Space 2,Visceral Games,Electronic Arts,"Survival horror, third-person shooter",Microsoft Windows,"January 25, 2011"
Dead Space 3,Visceral Games,Electronic Arts,"Action-adventure, survival horror, third-person shooter",Microsoft Windows,"February 5, 2013"
Deadlight,Tequila Works,Microsoft Studios,"Cinematic platformer, survival horror, sidescroller",Microsoft Windows,"August 1, 2012"
Dear Esther,The Chinese Room,The Chinese Room,Art,"Microsoft Windows, Linux, macOS","February 14, 2012"
Death Knights of Krynn,"Strategic Simulations, Inc.","Strategic Simulations, Inc.","Fantasy, RPG","MS-DOS, Commodore 64, Amiga","January 15, 1991"
Deathmatch Classic,Valve,Valve,First-person shooter,"Microsoft Windows, Linux, macOS","June 1, 2001"
Defcon,Introversion Software,Introversion Software,RTS,"Microsoft Windows, Linux, macOS","September 29, 2006"
Delta Force,NovaLogic,Electronic Arts,"Tactical shooter, first-person shooter",Microsoft Windows,"November 1, 1998"
Delta Force 2,NovaLogic,NovaLogic,"Tactical shooter, first-person shooter",Microsoft Windows,"November 3, 1999"
Delta Force: Black Hawk Down,NovaLogic,NovaLogic,First-person shooter,"Microsoft Windows, macOS","March 24, 2003"
Delta Force: Black Hawk Down: Team Sabre,NovaLogic,NovaLogic,First-person shooter,Microsoft Windows,"January 20, 2004"
Delta Force: Land Warrior,NovaLogic,NovaLogic,"Tactical shooter, first-person shooter",Microsoft Windows,"November 7, 2000"
Delta Force: Task Force Dagger,Zombie Studios,NovaLogic,First-person shooter,Microsoft Windows,"June 27, 2002"
Delta Force: Xtreme,NovaLogic,NovaLogic,First-person shooter,Microsoft Windows,"April 22, 2005"
Delta Force: Xtreme 2,NovaLogic,NovaLogic,First-person shooter,Microsoft Windows,"June 2, 2009"
Democracy 3,Positech Games,Positech Games,Government simulation,"Microsoft Windows, Linux, macOS","October 14, 2013"
Desperados: Wanted Dead or Alive,Spellbound Entertainment,Atari,Real-time tactics,Microsoft Windows,"April 20, 2001"
Desperados 2: Cooper's Revenge,Spellbound Entertainment,Atari,Real-time tactics,Microsoft Windows,"April 28, 2006"
Desperados III,Mimimi Games,THQ Nordic,Real-time tactics,Microsoft Windows,"June 16, 2020"
Deus Ex,Ion Storm,Eidos Interactive,Action role-playing,"Microsoft Windows, macOS","June 26, 2000"
Deus Ex: Human Revolution,Eidos Montréal,Square Enix,Action role-playing,Microsoft Windows,"August 23, 2011"
Deus Ex: Invisible War,Ion Storm,Eidos Interactive,Action role-playing,Microsoft Windows,"December 3, 2003"
Deus Ex: Mankind Divided,Eidos Montréal,Square Enix,Action role-playing,Microsoft Windows,"August 23, 2016"
Diablo,Blizzard North,"Blizzard Entertainment, Ubisoft","Action role-playing, hack and slash","Microsoft Windows, macOS","December 31, 1996"
Diablo II,Blizzard North,"Blizzard Entertainment, Sierra Entertainment","Action role-playing, hack and slash","Microsoft Windows, macOS","June 29, 2000"
Diablo III,Blizzard Entertainment,Blizzard Entertainment,"Action role-playing, hack and slash","Microsoft Windows, macOS","May 15, 2012"
Digital Combat Simulator,Eagle Dynamics,The Fighter Collection,Flight simulator,Microsoft Windows,"December 10, 2008"
Dino D-Day,800 North and Digital Ranch,800 North and Digital Ranch,"Action, indie",Microsoft Windows,"April 8, 2011"
Dirt 3,Codemasters,Codemasters,"Racing, arcade",Microsoft Windows,"May 24, 2011"
Divine Divinity,Larian Studios,"CDV, Snowball Studios",RPG,Microsoft Windows,"September 22, 2002"
Dofus,Ankama Games,Ankama Games,MMORPG,"Microsoft Windows, Linux, macOS",September 2004
Doom,id Software,GT Interactive,First-person shooter,"MS-DOS, Linux","December 10, 1993"
Doom II: Hell on Earth,id Software,GT Interactive,First-person shooter,"MS-DOS, Macintosh","September 30, 1994"
Doom 3,id Software,Activision,"Survival horror, First-person shooter","Microsoft Windows, Linux, macOS","August 3, 2004"
DOOM,id Software,Bethesda Softworks,First-person shooter,Microsoft Windows,"May 13, 2016"
Dota 2,Valve,Valve,MOBA,"Microsoft Windows, Linux, macOS","July 9, 2013"
Dragon Age II,BioWare,Electronic Arts,Role-playing,"Microsoft Windows, macOS","March 8, 2011"
Dragon Age: Inquisition,BioWare,Electronic Arts,Role-playing,Microsoft Windows,"November 18, 2014"
Dragon Age: Origins,BioWare Edmonton,Electronic Arts,Role-playing,"Microsoft Windows, macOS","November 3, 2009"
Dragon Age: Origins – Awakening,BioWare Edmonton,Electronic Arts,Role-playing,"Microsoft Windows, macOS","March 16, 2010"
Dragon Quest X,"Square Enix, Armor Project",Square Enix,RPG,Microsoft Windows,"August 2, 2012"
Dragon's Dogma,Capcom,Capcom,"Action role-playing, hack and slash",Microsoft Windows,"May 22, 2012"
Dragons of Flame,U.S. Gold,"Strategic Simulations, Inc.","Action, RPG, fantasy","MS-DOS, Amiga, Amstrad CPC, Atari ST, Commodore 64, ZX Spectrum","September 1, 1989"
DragonStrike,Westwood Associates,"Strategic Simulations, Inc.",RPG,"MS-DOS, Amiga, Commodore 64, Sharp X68000",1990
DRAMAtical Murder,Nitro+chiral,Nitro+chiral,"BL game, visual novel",Microsoft Windows,"March 23, 2012"
Driver,Reflections Interactive,GT Interactive,"Driving, action","Microsoft Windows, Macintosh","June 25, 1999"
Driver 3,Reflections Interactive,Atari,"Racing, shooter",Microsoft Windows,"June 24, 2004"
Driver: Parallel Lines,Reflections Interactive,Atari,"Racing, third-person shooter, action-adventure",Microsoft Windows,"March 14, 2006"
Driver: San Francisco,Ubisoft Reflections,Ubisoft,"Action-adventure, racing","Microsoft Windows, Mac OS X","September 1, 2011"
Duke Nukem,Apogee Software,Apogee Software,Platformer,"MS-DOS, Microsoft Windows, macOS","July 1, 1991"
Dune,Cryo Interactive,Virgin Interactive,"Adventure, strategy","MS-DOS, Amiga","November 1, 1992"
Dune II,Westwood Studios,Virgin Interactive,Real-time strategy,"MS-DOS, Amiga, RISC OS",December 1992
Dune 2000,"Intelligent Games, Westwood Studios","Virgin Interactive, Electronic Arts",Real-time strategy,Microsoft Windows,"September 4, 1998"
Dungeon Defenders,Trendy Entertainment,Trendy Entertainment,"Tower defense, action RPG","Microsoft Windows, Linux, macOS","October 19, 2011"
Dungeon Keeper,Bullfrog Productions,Electronic Arts,"RTS, god game, dungeon management game",Microsoft Windows,"June 26, 1997"
Dungeon Keeper 2,Bullfrog Productions,"Electronic Arts, Sold-Out Software","RTS, god game, dungeon management game",Microsoft Windows,"June 30, 1999"
Dungeons & Dragons Online,"Turbine, Inc.","Warner Bros., Atari, Codemasters",MMORPG,"Microsoft Windows, macOS","February 28, 2006"
Dungeons of Dredmor,Gaslamp Games,Gaslamp Games,"Roguelike, indie","Microsoft Windows, Linux, macOS","July 13, 2011"
Dwarf Fortress,Bay 12 Games,Bay 12 Games,"Construction and management simulation, Roguelike","Microsoft Windows, Linux, macOS","August 8, 2006"
Emperor: Battle for Dune,"Intelligent Games, Westwood Studios",EA Games,Real-time strategy,Microsoft Windows,"June 12, 2001"
The Elder Scrolls: Arena,Bethesda Softworks,Bethesda Softworks,Action role-playing,MS-DOS,"March 25, 1994"
The Elder Scrolls Adventures: Redguard,Bethesda Softworks,Bethesda Softworks,Action role-playing,MS-DOS,"November 14, 1998"
The Elder Scrolls II: Daggerfall,Bethesda Softworks,Bethesda Softworks,Action role-playing,MS-DOS,"August 31, 1996"
The Elder Scrolls III: Morrowind,Bethesda Game Studios,Bethesda Softworks,Action role-playing,Microsoft Windows,"May 1, 2002"
The Elder Scrolls IV: Oblivion,"Bethesda Game Studios, 4J Games, Superscape",Bethesda Softworks,Action role-playing,Microsoft Windows,"March 20, 2006"
The Elder Scrolls V: Skyrim,Bethesda Game Studios,Bethesda Softworks,Action role-playing,Microsoft Windows,"November 11, 2011"
The Elder Scrolls Online,ZeniMax Online Studios,Bethesda Softworks,MMORPG,"Microsoft Windows, Mac OS X","April 4, 2014"
An Elder Scrolls Legend: Battlespire,Bethesda Softworks,Bethesda Softworks,Action role-playing,MS-DOS,"November 30, 1997"
Emily Wants to Play,Shawn Hitchcock,SKH Apps,Survival horror,"Microsoft Windows, macOS","December 10, 2015"
Empire: Total War,"The Creative Assembly, Feral Interactive","Sega, Feral Interactive",RTS,"Microsoft Windows, Linux, macOS","March 3, 2009"
Empire Earth,Stainless Steel Studios,Sierra Entertainment,RTS,Microsoft Windows,"November 12, 2001"
Empire Earth II,Mad Doc Software,Vivendi Universal,RTS,Microsoft Windows,"April 26, 2005"
Empire Earth III,Mad Doc Software,Sierra Entertainment,RTS,Microsoft Windows,"November 6, 2007"
Empires Apart,Destiny Bit,Slitherine,RTS,Microsoft Windows,"March 29, 2018"
Enclave,Starbreeze Studios,"Vivendi Universal, TopWare Interactive",Action,"Microsoft Windows, Xbox","March 10, 2003"
Endless Space,Amplitude Studios,Iceberg Interactive,4X,"Microsoft Windows, macOS","July 4, 2012"
Epic Battle Fantasy,Matt Roszak,Kupo Games,Role-playing,"Microsoft Windows, Linux, macOS","March 1, 2009"
Epic Battle Fantasy 2,Matt Roszak,Kupo Games,Role-playing,"Microsoft Windows, Linux, macOS","August 20, 2009"
Epic Battle Fantasy 3,Matt Roszak,Kupo Games,Role-playing,"Microsoft Windows, Linux, macOS","September 12, 2010"
Epic Battle Fantasy 4,Matt Roszak,Kupo Games,Role-playing,"Microsoft Windows, Linux, macOS","September 12, 2013"
Euro Truck Simulator,SCS Software,SCS Software,Simulator,Microsoft Windows,"August 29, 2008"
Euro Truck Simulator 2,SCS Software,SCS Software,Simulator,"Microsoft Windows, Linux, macOS","October 19, 2012"
Europa Universalis,Paradox Development Studio,Strategy First,Grand strategy,Microsoft Windows,"March 14, 2000"
Europa Universalis II,Paradox Development Studio,"Strategy First, MacPlay, Typhoon Games",Grand strategy,"Microsoft Windows, macOS","November 12, 2001"
Europa Universalis III,Paradox Development Studio,Paradox Interactive,Grand strategy,Microsoft Windows,"January 23, 2007"
Europa Universalis IV,Paradox Development Studio,Paradox Interactive,Grand strategy,"Microsoft Windows, Linux, macOS","August 13, 2013"
Eve Online,CCP Games,CCP Games,"Space flight simulator game, MMORPG","Microsoft Windows, macOS","May 6, 2003"
Event 0,Ocelot Society,Ocelot Society,Adventure,"Microsoft Windows, macOS","September 14, 2016"
Eye of the Beholder,"Strategic Simulations, Inc.","TSR, Inc.","Fantasy, RPG",MS-DOS,"April 16, 1990"
Eye of the Beholder II: The Legend of Darkmoon,Westwood Associates,"Strategic Simulations, Inc.","Fantasy, RPG",MS-DOS,"December 12, 1991"
Eye of the Beholder III: Assault on Myth Drannor,"Strategic Simulations, Inc.","Strategic Simulations, Inc.","Fantasy, RPG",MS-DOS,"August 3, 1992"
Frank Herbert's Dune,Widescreen Games,"Cryo Interactive, DreamCatcher Interactive",Adventure,Microsoft Windows,"November 14, 2001"
Factorio,Wube Software,Wube Software,RTS,"Microsoft Windows, Linux, macOS",2015
A Fairy Tale,Reflexive Entertainment,Reflexive Entertainment,Matching,"Microsoft Windows, macOS","March 12, 2009"
Fallout,Interplay Productions,Bethesda Softworks,RPG,Microsoft Windows,"November 1, 1997"
Fallout 2,Black Isle Studios,Bethesda Softworks,RPG,Microsoft Windows,"December 1, 1998"
Fallout 3,Bethesda Game Studios,Bethesda Softworks,RPG,Microsoft Windows,"October 28, 2008"
Fallout 4,Bethesda Game Studios,Bethesda Softworks,RPG,Microsoft Windows,"November 10, 2015"
Fallout: New Vegas,Obsidian Entertainment,"Namco Bandai Games, Bethesda Softworks",RPG,Microsoft Windows,"October 19, 2010"
Fallout Tactics: Brotherhood of Steel,Micro Forté,14 Degrees East,TRPG,Microsoft Windows,"March 15, 2001"
Far Cry,Crytek,Ubisoft,First-person shooter,Microsoft Windows,"March 12, 2004"
Far Cry 2,Ubisoft Montreal,Ubisoft,First-person shooter,Microsoft Windows,"October 21, 2008"
Far Cry 3,Ubisoft Montreal,Ubisoft,First-person shooter,Microsoft Windows,"November 29, 2012"
Far Cry 3: Blood Dragon,"Ubisoft Montreal, Ubisoft Shanghai",Ubisoft,First-person shooter,Microsoft Windows,"May 1, 2013"
Far Cry 4,Ubisoft Montreal,Ubisoft,"First-person shooter, Action-adventure",Microsoft Windows,"November 18, 2014"
Far Cry Primal,Ubisoft Montreal,Ubisoft,Action-adventure,Microsoft Windows,"February 23, 2016"
Fez,Polytron Corporation,Trapdoor,Puzzle-platform,"Windows, Linux, OS X","May 1, 2013"
Fiesta Online,Ons On Soft,"Ons On Soft, Gamigo AG",MMORPG,Microsoft Windows,"November 7, 2007"
Final Fantasy,Square Enix,Square Enix,Role-playing,Microsoft Windows,"August 12, 2021"
Final Fantasy II,Square Enix,Square Enix,Role-playing,Microsoft Windows,"July 28, 2021"
Final Fantasy III,Square Enix,Square Enix,Role-playing,Microsoft Windows,"May 27, 2014"
Final Fantasy IV,Square Enix,Square Enix,Role-playing,Microsoft Windows,"September 17, 2014"
Final Fantasy IV: The After Years,Square Enix,Square Enix,Role-playing,Microsoft Windows,"May 12, 2015"
Final Fantasy V,Square Enix,Square Enix,Role-playing,Microsoft Windows,"November 10, 2021"
Final Fantasy VI,Square Enix,Square Enix,Role-playing,Microsoft Windows,"February 13, 2022"
Final Fantasy VII,Square Product Development Division 1,"Square, Square Enix, Eidos Interactive",Role-playing,Microsoft Windows,"May 31, 1998"
Final Fantasy VII Remake Intergrade,Square Enix,Square Enix,Action role-playing game,Microsoft Windows,"June 22, 2022"
Final Fantasy VIII,Square Product Development Division 1,"Square, Square Enix",Role-playing,Microsoft Windows,"February 11, 1999"
Final Fantasy IX,Square Enix,Square Enix,Role-playing,Microsoft Windows,"April 14, 2016"
Final Fantasy X/X-2 HD Remaster,Square Enix,Square Enix,Role-playing,Microsoft Windows,"May 12, 2016"
Final Fantasy XI,"Square Product Development Division 3 (pre-April 1, 2003), Square Enix Product Development Division 3","Square, Square Enix",Role-playing,Microsoft Windows,"May 16, 2002"
Final Fantasy XIII,Square Enix,Square Enix,Role-playing,Microsoft Windows,"October 9, 2014"
Final Fantasy XIII-2,Square Enix,Square Enix,Role-playing,Microsoft Windows,"December 11, 2014"
Final Fantasy XIV,Square Enix,Square Enix,MMORPG,Microsoft Windows,"February 18, 2014"
Final Fantasy XV,Square Enix,Square Enix,Action role-playing game,Microsoft Windows,"March 6, 2018"
Final Fantasy Type 0,Square Enix,Square Enix,Role-playing,Microsoft Windows,"August 18, 2015"
Firefall,Red 5 Studios,Red 5 Studios,MMOFPS,Microsoft Windows,"July 29, 2014"
Fistful of Frags,FoF Developer Team,"FoF Developer Team, Valve",First-person shooter,"Microsoft Windows, Linux, macOS","December 20, 2007"
Five Nights at Freddy's,Scott Cawthon,Scott Cawthon,Survival horror,"Microsoft Windows, Linux","August 8, 2014"
Five Nights at Freddy's 2,Scott Cawthon,Scott Cawthon,Survival horror,"Microsoft Windows, Linux","November 10, 2014"
Five Nights at Freddy's 3,Scott Cawthon,Scott Cawthon,Survival horror,"Microsoft Windows, Linux","March 2, 2015"
FlatOut,Bugbear Entertainment,"Valve, Empire Interactive, Konami","Racing, arcade","Microsoft Windows, Linux","November 5, 2004"
FlatOut 2,Bugbear Entertainment,"Valve, Empire Interactive, Konami","Racing, arcade","Microsoft Windows, Linux, macOS","June 30, 2006"
FlatOut 3: Chaos & Destruction,Team6 Game Studios,Strategy First,"Racing, arcade",Microsoft Windows,"December 13, 2011"
FlatOut: Ultimate Carnage,Bugbear Entertainment,"Valve, Empire Interactive","Racing, arcade",Microsoft Windows,"July 22, 2007"
For the Glory: A Europa Universalis Game,Crystal Empire Games,Paradox Interactive,Grand strategy,Microsoft Windows,"November 11, 2009"
The Forest,Endnight Games Ltd,Endnight Games Ltd,Survival horror,Microsoft Windows,"May 30, 2013"
A Fork in the Tale,Advance Reality Interactive,Any River Entertainment,Adventure,Microsoft Windows,"February 28, 1997"
Fortnite,"Epic Games, People Can Fly",Epic Games,"co-op, sandbox, survival game","Microsoft Windows, macOS","July 25, 2017"
Fragile Allegiance,Gremlin Interactive,"Gremlin Interactive, Interplay","4X, real-time strategy","Microsoft Windows, MS-DOS",December 1996
Fragmented,Above and Beyond Technologies,Above and Beyond Technologies,"Survival, RPG",Microsoft Windows,"March 26, 2016"
Freelancer,Digital Anvil,Microsoft Game Studios,Space trading and combat simulator,Microsoft Windows,"March 4, 2003"
FTL: Faster Than Light,Subset Games,Subset Games,"Indie, simulation, strategy","Microsoft Windows, Linux, macOS","September 14, 2012"
Game Dev Tycoon,Greenheart Games,Greenheart Games,"Casual, indie, simulation, strategy","Microsoft Windows, Linux, macOS","December 10, 2012"
Garry's Mod,Facepunch Studios,Valve,"Nonlinear, sandbox physics","Microsoft Windows, Linux, macOS","August 29, 2013"
Giant Cop: Justice Above All,Other Ocean Interactive,Other Ocean Interactive,Action,Microsoft Windows,"May 30, 2017"
Goat Simulator,Coffee Stain Studios,Coffee Stain Studios,"Nonlinear, sandbox physics","Microsoft Windows, Linux, macOS","April 1, 2014"
Gone Home,The Fullbright Company,The Fullbright Company,"Adventure, interactive fiction, point and click","Microsoft Windows, Linux, macOS","August 15, 2013"
Gothic,Piranha Bytes,Xicat Interactive,Action role-playing,Microsoft Windows,"April 15, 2001"
Gothic II,Piranha Bytes,JoWooD Entertainment,Action role-playing,Microsoft Windows,"November 29, 2002"
Gothic 3,Piranha Bytes,"JoWooD Entertainment, Deep Silver, Aspyr Media",Action role-playing,Microsoft Windows,"October 13, 2006"
Gothic 3: Forsaken Gods,"Trine Games, Mad Vulture Games",JoWooD Entertainment,Action role-playing,Microsoft Windows,"November 21, 2008"
Arcania: Gothic 4,Spellbound Entertainment,"JoWooD Entertainment, DreamCatcher Interactive",Action role-playing,Microsoft Windows,"October 14, 2010"
Arcania: Fall of Setarrif,Spellbound Entertainment,Nordic Games,Action role-playing,Microsoft Windows,"October 25, 2011"
God of War,Santa Monica Studio,Sony Interactive Entertainment,"Action-adventure, hack and slash",Microsoft Windows,"January 14, 2022"
Grand Theft Auto,DMA Design,BMG Interactive,"Open world, action-adventure","Microsoft Windows, MS-DOS","October 21, 1997"
Grand Theft Auto: London 1961,Rockstar Canada,Rockstar Games,"Open world, action-adventure",Microsoft Windows,"June 1, 1999"
Grand Theft Auto: London 1969,Rockstar Canada,Rockstar Games,"Open world, action-adventure","Microsoft Windows, MS-DOS","March 31, 1999"
Grand Theft Auto 2,DMA Design,Rockstar Games,"Open world, action-adventure",Microsoft Windows,"October 22, 1999"
Grand Theft Auto III,DMA Design,Rockstar Games,"Open world, action-adventure",Microsoft Windows,"May 21, 2002"
Grand Theft Auto IV,Rockstar North,Rockstar Games,"Open world, action-adventure",Microsoft Windows,"December 2, 2008"
Grand Theft Auto IV: The Lost and Damned,Rockstar North,Rockstar Games,"Open world, action-adventure",Microsoft Windows,"April 13, 2010"
Grand Theft Auto: The Ballad of Gay Tony,Rockstar North,Rockstar Games,"Open world, action-adventure",Microsoft Windows,"April 13, 2010"
Grand Theft Auto: San Andreas,Rockstar North,Rockstar Games,"Open world, action-adventure","Microsoft Windows, macOS","June 7, 2005"
