title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher,ISBN_13,link,complete_link
Murachs Python for Data Analysis (Training & Reference),[Scott Mccoy],58.33,559.0,4.6,22,0.69,0.25,0.07,0.0,0.0,7.75 x 1.5 x 9.75 inches,2.8 pounds,English,Mike Murach & Associates Inc (August 30 2021),978-1943872763,/Murachs-Python-Analysis-Scott-McCoy/dp/1943872767/ref=sr_1_232?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448033&sprefix=data+science%2Caps%2C828&sr=8-232,https://www.amazon.com/Murachs-Python-Analysis-Scott-McCoy/dp/1943872767/ref=sr_1_232?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448033&sprefix=data+science%2Caps%2C828&sr=8-232
Cracking the Coding Interview: 189 Programming Questions and Solutions,[Gayle Laakmann McDowell],35.95,687.0,4.7,7563,0.81,0.12,0.04,0.01,0.02,7 x 1.59 x 10 inches,2.69 pounds,English,CareerCup; 6th edition (July 1 2015),978-0984782857,/Cracking-Coding-Interview-Programming-Questions/dp/0984782850/ref=sr_1_224?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448033&sprefix=data+science%2Caps%2C828&sr=8-224,https://www.amazon.com/Cracking-Coding-Interview-Programming-Questions/dp/0984782850/ref=sr_1_224?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448033&sprefix=data+science%2Caps%2C828&sr=8-224
Docker for Data Science: Building Scalable and Extensible Data Infrastructure Around the Jupyter Notebook Server,[Joshua Cook],49.49,278.0,3.7,10,0.29,0.27,0.27,0.17,0.0,6.1 x 0.64 x 9.25 inches,9.56 pounds,English,Apress; 1st ed. edition (August 25 2017),978-1484230114,/Docker-Data-Science-Extensible-Infrastructure/dp/1484230116/ref=sr_1_222?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448033&sprefix=data+science%2Caps%2C828&sr=8-222,https://www.amazon.com/Docker-Data-Science-Extensible-Infrastructure/dp/1484230116/ref=sr_1_222?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448033&sprefix=data+science%2Caps%2C828&sr=8-222
Mastering PostgreSQL 13: Build administer and maintain database applications efficiently with PostgreSQL 13 4th Edition,[Hans-Jurgen Schonig],41.99,476.0,4.2,35,0.64,0.1,0.12,0.09,0.04,7.5 x 1.08 x 9.25 inches,1.79 pounds,English,Packt Publishing; 4th ed. edition (November 13 2020),978-1800567498,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A016871527USU9TLYH4V2&url=%2FMastering-PostgreSQL-administer-applications-efficiently%2Fdp%2F1800567499%2Fref%3Dsr_1_228_sspa%3Fcrid%3D2YKZLS0CJFDGI%26keywords%3Ddata%2Bscience%26qid%3D1663448033%26sprefix%3Ddata%2Bscience%252Caps%252C828%26sr%3D8-228-spons%26psc%3D1&qualifier=1663448033&id=4081593171667701&widgetName=sp_mtf,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A016871527USU9TLYH4V2&url=%2FMastering-PostgreSQL-administer-applications-efficiently%2Fdp%2F1800567499%2Fref%3Dsr_1_228_sspa%3Fcrid%3D2YKZLS0CJFDGI%26keywords%3Ddata%2Bscience%26qid%3D1663448033%26sprefix%3Ddata%2Bscience%252Caps%252C828%26sr%3D8-228-spons%26psc%3D1&qualifier=1663448033&id=4081593171667701&widgetName=sp_mtf
Data Analysis with Python and PySpark,[Jonathan Rioux],48.0,456.0,4.8,7,0.8,0.2,0.0,0.0,0.0,7.38 x 1 x 9.25 inches,1.68 pounds,English,Manning (March 22 2022),978-1617297205,/Analysis-Python-PySpark-Jonathan-Rioux/dp/1617297208/ref=sr_1_223?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448033&sprefix=data+science%2Caps%2C828&sr=8-223,https://www.amazon.com/Analysis-Python-PySpark-Jonathan-Rioux/dp/1617297208/ref=sr_1_223?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448033&sprefix=data+science%2Caps%2C828&sr=8-223
PYTHON: Learn Coding Programs with Python Programming and Master Data Analysis & Analytics Data Science and Machine Learning with the Complete Crash Course for Beginners - 5 Manuscripts in 1 Book,[TechExp Academy],24.9,400.0,4.2,282,0.61,0.14,0.11,0.05,0.08,8 x 0.91 x 10 inches,1.9 pounds,English,Independently published (December 24 2021),979-8789894958,/PYTHON-Programming-Analytics-Beginners-Manuscripts/dp/B09NT7WVT5/ref=sr_1_300?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-300,https://www.amazon.com/PYTHON-Programming-Analytics-Beginners-Manuscripts/dp/B09NT7WVT5/ref=sr_1_300?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-300
DATA SCIENCE WITH PYTHON: Complete Guide To Understanding Data Analytics And Data Science With Python Programming (Code tutorials),[Craig Berg],9.98,138.0,,0,0.0,0.0,0.0,0.0,0.0,6 x 0.35 x 9 inches,7.5 ounces,English,Independently published (June 17 2020),979-8654741257,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A04984432F8F46A4BVLK0&url=%2FDATA-SCIENCE-PYTHON-Understanding-Programming%2Fdp%2FB08BDWY92J%2Fref%3Dsr_1_227_sspa%3Fcrid%3D2YKZLS0CJFDGI%26keywords%3Ddata%2Bscience%26qid%3D1663448033%26sprefix%3Ddata%2Bscience%252Caps%252C828%26sr%3D8-227-spons%26psc%3D1&qualifier=1663448033&id=4081593171667701&widgetName=sp_mtf,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A04984432F8F46A4BVLK0&url=%2FDATA-SCIENCE-PYTHON-Understanding-Programming%2Fdp%2FB08BDWY92J%2Fref%3Dsr_1_227_sspa%3Fcrid%3D2YKZLS0CJFDGI%26keywords%3Ddata%2Bscience%26qid%3D1663448033%26sprefix%3Ddata%2Bscience%252Caps%252C828%26sr%3D8-227-spons%26psc%3D1&qualifier=1663448033&id=4081593171667701&widgetName=sp_mtf
Data Analytics: Practical Guide to Leveraging the Power of Algorithms Data Science Data Mining Statistics Big Data and Predictive Analysis to Improve Business Work and Life,[Arthur Zhang],11.97,280.0,3.7,17,0.5,0.13,0.07,0.18,0.12,6 x 0.64 x 9 inches,1.08 pounds,English,CreateSpace Independent Publishing Platform (March 10 2017),978-1544603971,/Data-Analytics-Leveraging-Algorithms-Statistics/dp/1544603975/ref=sr_1_299?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-299,https://www.amazon.com/Data-Analytics-Leveraging-Algorithms-Statistics/dp/1544603975/ref=sr_1_299?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-299
Introduction to Machine Learning,[Etienne Bernard],29.6,424.0,4.4,11,0.7,0.17,0.13,0.0,0.0,7 x 0.86 x 10 inches,1.61 pounds,English,Wolfram Media Inc (December 20 2021),978-1579550486,/Introduction-Machine-Learning-Etienne-Bernard/dp/1579550487/ref=sr_1_298?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-298,https://www.amazon.com/Introduction-Machine-Learning-Etienne-Bernard/dp/1579550487/ref=sr_1_298?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-298
Hands-On Data Structures and Algorithms with Kotlin: Level up your programming skills understanding how Kotlins data structure works,"[Chandra Sekhar Nayak,Rivu Chakraborty]",36.99,220.0,3.6,4,0.65,0.35,0.0,0.0,0.0,7.5 x 0.5 x 9.25 inches,13.6 ounces,English,Packt Publishing (February 28 2019),978-1788994019,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A0468435ACSEDMUPIA51&url=%2FHands-Data-Structures-Algorithms-Kotlin%2Fdp%2F1788994019%2Fref%3Dsr_1_226_sspa%3Fcrid%3D2YKZLS0CJFDGI%26keywords%3Ddata%2Bscience%26qid%3D1663448033%26sprefix%3Ddata%2Bscience%252Caps%252C828%26sr%3D8-226-spons%26psc%3D1&qualifier=1663448033&id=4081593171667701&widgetName=sp_mtf,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A0468435ACSEDMUPIA51&url=%2FHands-Data-Structures-Algorithms-Kotlin%2Fdp%2F1788994019%2Fref%3Dsr_1_226_sspa%3Fcrid%3D2YKZLS0CJFDGI%26keywords%3Ddata%2Bscience%26qid%3D1663448033%26sprefix%3Ddata%2Bscience%252Caps%252C828%26sr%3D8-226-spons%26psc%3D1&qualifier=1663448033&id=4081593171667701&widgetName=sp_mtf
Asking Smarter Questions: How To Be an Agent of Insight (Using Data Better),[Sam Knowles],39.95,280.0,,0,0.0,0.0,0.0,0.0,0.0,5.06 x 0.64 x 7.81 inches,1.23 pounds,English,Routledge; 1st edition (August 8 2022),978-1032111162,/Asking-Smarter-Questions-Insight-Better/dp/103211116X/ref=sr_1_296?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-296,https://www.amazon.com/Asking-Smarter-Questions-Insight-Better/dp/103211116X/ref=sr_1_296?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-296
Scalable Data Analytics with Azure Data Explorer: Modern ways to query analyze and perform real-time data analysis on large volumes of data,"[Jason Myerscough,Arunee Singhchawla]",51.99,364.0,5.0,8,1.0,0.0,0.0,0.0,0.0,7.5 x 0.82 x 9.25 inches,1.38 pounds,English,Packt Publishing (March 17 2022),978-1801078542,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A054002311769YDNXLEY9&url=%2FScalable-Data-Analytics-Azure-Explorer%2Fdp%2F1801078548%2Fref%3Dsr_1_225_sspa%3Fcrid%3D2YKZLS0CJFDGI%26keywords%3Ddata%2Bscience%26qid%3D1663448033%26sprefix%3Ddata%2Bscience%252Caps%252C828%26sr%3D8-225-spons%26psc%3D1&qualifier=1663448033&id=4081593171667701&widgetName=sp_mtf,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A054002311769YDNXLEY9&url=%2FScalable-Data-Analytics-Azure-Explorer%2Fdp%2F1801078548%2Fref%3Dsr_1_225_sspa%3Fcrid%3D2YKZLS0CJFDGI%26keywords%3Ddata%2Bscience%26qid%3D1663448033%26sprefix%3Ddata%2Bscience%252Caps%252C828%26sr%3D8-225-spons%26psc%3D1&qualifier=1663448033&id=4081593171667701&widgetName=sp_mtf
The Political Philosophy of AI: An Introduction,[Mark Coeckelbergh],19.59,176.0,3.7,7,0.52,0.14,0.17,0.17,0.0,5.4 x 0.7 x 8.5 inches,9.6 ounces,English,Polity; 1st edition (April 11 2022),978-1509548545,/Political-Philosophy-AI-Introduction/dp/1509548548/ref=sr_1_295?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-295,https://www.amazon.com/Political-Philosophy-AI-Introduction/dp/1509548548/ref=sr_1_295?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-295
Transformers for Machine Learning: A Deep Dive (Chapman & Hall/CRC Machine Learning & Pattern Recognition),"[Uday Kamath,Kenneth Graham et al.]",54.95,257.0,3.9,8,0.68,0.16,0.16,0.0,0.0,6.1 x 0.7 x 9.2 inches,12.2 ounces,English,Chapman and Hall/CRC; 1st edition (May 25 2022),978-0367767341,/Transformers-Machine-Learning-Chapman-Recognition/dp/0367767341/ref=sr_1_293?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-293,https://www.amazon.com/Transformers-Machine-Learning-Chapman-Recognition/dp/0367767341/ref=sr_1_293?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-293
Predictive Analytics: Data Mining Machine Learning and Data Science for Practitioners (Pearson Business Analytics Series),[Dursun Delen],47.49,350.0,4.1,12,0.6,0.11,0.18,0.11,0.0,5.95 x 1.1 x 8.9 inches,1.48 pounds,English,Pearson FT Press; 2nd edition (December 21 2020),978-0136738510,/Predictive-Analytics-Machine-Learning-Practitioners/dp/0136738516/ref=sr_1_291?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-291,https://www.amazon.com/Predictive-Analytics-Machine-Learning-Practitioners/dp/0136738516/ref=sr_1_291?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-291
Pre-K-12 Guidelines for Assessment and Instruction in Statistics Education II (GAISE II): A Framework for Statistics and Data Science Education,"[Anna Bargagliotti,Christine Franklin et al.]",15.0,122.0,5.0,4,1.0,0.0,0.0,0.0,0.0,8.5 x 0.28 x 11 inches,10.7 ounces,English,American Statistical Association (December 3 2020),978-1734223514,/Guidelines-Assessment-Instruction-Statistics-Education/dp/1734223510/ref=sr_1_287?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-287,https://www.amazon.com/Guidelines-Assessment-Instruction-Statistics-Education/dp/1734223510/ref=sr_1_287?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-287
Confident Data Skills: How to Work with Data and Futureproof Your Career (Confident Series),,14.64,320.0,4.7,15,0.66,0.34,0.0,0.0,0.0,5.51 x 0.79 x 8.46 inches,14.1 ounces,English,Kogan Page; 2nd edition (September 29 2020),978-1789664386,/Confident-Data-Skills-Futureproof-Career/dp/1789664381/ref=sr_1_290?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-290,https://www.amazon.com/Confident-Data-Skills-Futureproof-Career/dp/1789664381/ref=sr_1_290?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-290
Learning Tableau 2022,"[Joshua N. Milligan,Blair Hutchinson et al.]",55.09,566.0,5.0,14,1.0,0.0,0.0,0.0,0.0,7.5 x 1.28 x 9.25 inches,2.12 pounds,English,Packt Publishing; 5th ed. edition (August 26 2022),978-1801072328,/Learning-Tableau-2022-Joshua-Milligan/dp/1801072329/ref=sr_1_294?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-294,https://www.amazon.com/Learning-Tableau-2022-Joshua-Milligan/dp/1801072329/ref=sr_1_294?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-294
The Data Warehouse Toolkit: The Definitive Guide to Dimensional Modeling 3rd Edition,,40.16,600.0,4.7,531,0.78,0.15,0.05,0.01,0.01,7.38 x 1.36 x 9.25 inches,2.14 pounds,English,Wiley; 3rd edition (June 21 2013),978-1118530801,/Data-Warehouse-Toolkit-Definitive-Dimensional/dp/1118530802/ref=sr_1_288?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-288,https://www.amazon.com/Data-Warehouse-Toolkit-Definitive-Dimensional/dp/1118530802/ref=sr_1_288?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-288
Data Science in Education Using R,"[Ryan A. Estrellado,Jesse Mostipak et al.]",48.95,284.0,4.6,15,0.73,0.17,0.1,0.0,0.0,6.85 x 0.72 x 9.69 inches,1.31 pounds,English,Routledge; 1st edition (October 27 2020),978-0367422257,/Data-Science-Education-Using-R/dp/0367422255/ref=sr_1_289?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-289,https://www.amazon.com/Data-Science-Education-Using-R/dp/0367422255/ref=sr_1_289?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-289
Data Mining with Rattle and R: The Art of Excavating Data for Knowledge Discovery (Use R!),,84.99,394.0,4.3,53,0.68,0.12,0.08,0.07,0.06,6.1 x 0.93 x 9.25 inches,1.48 pounds,English,Springer; 2011th edition (August 4 2011),978-1441998897,/Data-Mining-Rattle-Excavating-Knowledge/dp/1441998896/ref=sr_1_285?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-285,https://www.amazon.com/Data-Mining-Rattle-Excavating-Knowledge/dp/1441998896/ref=sr_1_285?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-285
Statistics for Beginners in Data Science: Theory and Applications of Essential Statistics Concepts using Python (Machine Learning & Data Science for Beginners),,17.99,188.0,4.3,22,0.69,0.06,0.06,0.19,0.0,6 x 0.43 x 9 inches,9.1 ounces,English,AI Publishing (April 18 2020),978-1734790115,/Statistics-Beginners-Data-Science-Applications/dp/1734790113/ref=sr_1_286?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-286,https://www.amazon.com/Statistics-Beginners-Data-Science-Applications/dp/1734790113/ref=sr_1_286?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-286
Detecting Regime Change in Computational Finance: Data Science Machine Learning and Algorithmic Trading,"[Jun Chen,Edward P K Tsang]",54.95,138.0,,0,0.0,0.0,0.0,0.0,0.0,6.14 x 0.35 x 9.21 inches,10.6 ounces,English,Chapman and Hall/CRC; 1st edition (May 30 2022),978-0367540951,/Detecting-Regime-Change-Computational-Finance/dp/0367540959/ref=sr_1_283?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-283,https://www.amazon.com/Detecting-Regime-Change-Computational-Finance/dp/0367540959/ref=sr_1_283?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-283
Massive Graph Analytics (Chapman & Hall/CRC Data Science Series),,150.0,590.0,,0,0.0,0.0,0.0,0.0,0.0,7 x 1.5 x 10 inches,2.86 pounds,English,Chapman and Hall/CRC; 1st edition (July 20 2022),978-0367464127,/Massive-Graph-Analytics-Chapman-Science/dp/0367464128/ref=sr_1_280?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-280,https://www.amazon.com/Massive-Graph-Analytics-Chapman-Science/dp/0367464128/ref=sr_1_280?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-280
Practical Data Science with R,"[Nina Zumel,John Mount]",35.74,483.0,4.5,36,0.71,0.14,0.11,0.05,0.0,7.38 x 1.2 x 9.25 inches,2.29 pounds,English,Manning; 2nd edition (December 7 2019),978-1617295874,/Practical-Data-Science-Nina-Zumel/dp/1617295876/ref=sr_1_279?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-279,https://www.amazon.com/Practical-Data-Science-Nina-Zumel/dp/1617295876/ref=sr_1_279?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-279
Neo4j Graph Data Science Certified: Exam Practice Tests,[Cristian Scutaru],14.99,118.0,4.5,2,0.5,0.5,0.0,0.0,0.0,6 x 0.27 x 9 inches,6.1 ounces,English,Independently published (April 1 2021),979-8731751193,/Neo4j-Graph-Data-Science-Certified/dp/B091F5QK5B/ref=sr_1_277?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-277,https://www.amazon.com/Neo4j-Graph-Data-Science-Certified/dp/B091F5QK5B/ref=sr_1_277?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-277
Grokking Machine Learning,[Luis Serrano],47.99,512.0,4.6,10,0.72,0.14,0.14,0.0,0.0,7.38 x 1.1 x 9.25 inches,1.9 pounds,English,Manning (December 14 2021),978-1617295911,/Grokking-Machine-Learning-Luis-Serrano/dp/1617295914/ref=sr_1_270?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-270,https://www.amazon.com/Grokking-Machine-Learning-Luis-Serrano/dp/1617295914/ref=sr_1_270?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-270
Data Science for Immunologists,"[Niclas Thomas,Laura Pallett]",28.06,159.0,4.7,18,0.68,0.32,0.0,0.0,0.0,7 x 0.38 x 10 inches,12 ounces,English,CreateSpace Independent Publishing Platform; 1st edition (February 17 2018),978-1985665675,/Data-Science-Immunologists-Niclas-Thomas/dp/1985665670/ref=sr_1_271?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-271,https://www.amazon.com/Data-Science-Immunologists-Niclas-Thomas/dp/1985665670/ref=sr_1_271?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-271
Data Science Analytics and Machine Learning with R,"[Luiz Paulo Favero,Patricia Belfiore et al.]",150.0,924.0,,0,0.0,0.0,0.0,0.0,0.0,,1.11 pounds,English,Academic Press; 1st edition (November 15 2022),978-0128242711,/Data-Science-Analytics-Machine-Learning/dp/012824271X/ref=sr_1_272?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-272,https://www.amazon.com/Data-Science-Analytics-Machine-Learning/dp/012824271X/ref=sr_1_272?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-272
The TensorFlow Workshop: A hands-on guide to building deep learning models from scratch using real-world datasets,"[Matthew Moocarme,Anthony So et al.]",41.99,600.0,4.3,26,0.54,0.29,0.09,0.08,0.0,7.5 x 1.36 x 9.25 inches,2.24 pounds,English,Packt Publishing (December 15 2021),978-1800205253,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg6_1?ie=UTF8&adId=A09909353PM48NC2OTZGM&url=%2FTensorFlow-Workshop-hands-building-real-world%2Fdp%2F1800205252%2Fref%3Dsr_1_276_sspa%3Fcrid%3D2YKZLS0CJFDGI%26keywords%3Ddata%2Bscience%26qid%3D1663448047%26sprefix%3Ddata%2Bscience%252Caps%252C828%26sr%3D8-276-spons%26psc%3D1&qualifier=1663448047&id=1286096346710520&widgetName=sp_mtf,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg6_1?ie=UTF8&adId=A09909353PM48NC2OTZGM&url=%2FTensorFlow-Workshop-hands-building-real-world%2Fdp%2F1800205252%2Fref%3Dsr_1_276_sspa%3Fcrid%3D2YKZLS0CJFDGI%26keywords%3Ddata%2Bscience%26qid%3D1663448047%26sprefix%3Ddata%2Bscience%252Caps%252C828%26sr%3D8-276-spons%26psc%3D1&qualifier=1663448047&id=1286096346710520&widgetName=sp_mtf
Data Action: Using Data for Public Good,[Sarah Williams],33.69,312.0,4.7,38,0.83,0.07,0.06,0.04,0.0,9.2 x 0.89 x 10.29 inches,3.05 pounds,English,The MIT Press (December 8 2020),978-0262044196,/Data-Action-Using-Public-Good/dp/0262044196/ref=sr_1_268?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-268,https://www.amazon.com/Data-Action-Using-Public-Good/dp/0262044196/ref=sr_1_268?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-268
Data Governance For Dummies,[Jonathan Reichental],34.99,320.0,,0,0.0,0.0,0.0,0.0,0.0,,1.47 pounds,English,For Dummies; 1st edition (December 8 2022),978-1119906773,/Data-Governance-Dummies-Jonathan-Reichental/dp/1119906776/ref=sr_1_267?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-267,https://www.amazon.com/Data-Governance-Dummies-Jonathan-Reichental/dp/1119906776/ref=sr_1_267?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-267
A Criminologists Guide to R: Crime the Numbers (Chapman & Hall/CRC The R Series),[Jacob Kaplan],79.96,434.0,,0,0.0,0.0,0.0,0.0,0.0,,1.74 pounds,English,Chapman and Hall/CRC; 1st edition (October 18 2022),978-1032244075,/Criminologists-Guide-Crime-Numbers-Chapman/dp/1032244070/ref=sr_1_265?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-265,https://www.amazon.com/Criminologists-Guide-Crime-Numbers-Chapman/dp/1032244070/ref=sr_1_265?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-265
Marketing Analytics: A Practical Guide to Improving Consumer Insights Using Data Techniques,[Mike Grigs],35.99,240.0,4.4,50,0.68,0.14,0.08,0.07,0.03,5.91 x 0.79 x 9.06 inches,14.1 ounces,English,Kogan Page; 2nd edition (April 24 2018),978-0749482169,/Marketing-Analytics-Practical-Improving-Techniques/dp/0749482168/ref=sr_1_266?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-266,https://www.amazon.com/Marketing-Analytics-Practical-Improving-Techniques/dp/0749482168/ref=sr_1_266?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-266
Applied Data Science: Lessons Learned for the Data-Driven Business,"[Martin Braschler,Thilo Stadelmann et al.]",179.99,478.0,1.0,1,1.0,0.0,0.0,0.0,0.0,6.14 x 1.06 x 9.21 inches,1.94 pounds,English,Springer; 1st ed. 2019 edition (June 25 2019),978-3030118204,/Applied-Data-Science-Data-Driven-Business/dp/3030118207/ref=sr_1_264?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-264,https://www.amazon.com/Applied-Data-Science-Data-Driven-Business/dp/3030118207/ref=sr_1_264?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-264
